Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
197,"Ashish, Pranav",18-05-2018,Dendrocalamus giganeus,1680,2448,,,,,,,,,,,13,,stems with same GBH pooled and written. Total stems 86,
198,"Ashish, Pranav",18-05-2018,Dendrocalamus strictus,442,,,,,,,,,,,,3,,stems with same GBH pooled and written. Total stems 34,
199,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,19,13,,,,,,,,,,,3,,,
200,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,10,,,,,,,,,,,3,,,
201,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,,,,,,,,,,,,3,,,
202,"Ashish, Pranav",18-05-2018,Lantana camera,10,,,,,,,,,,,,2,,,
203,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,12.5,,,,,,,,,,,,3,,,
204,"Ashish, Pranav",18-05-2018,Anogeissus seresius,18.2,,,,,,,,,,,,4,,,
205,"Ashish, Pranav",18-05-2018,Anogeissus seresius,12,,,,,,,,,,,,2,,,
206,"Ashish, Pranav",18-05-2018,Lantana camera,10,10,6,,,,,,,,,,2,,,
207,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,68,,,,,,,,,,,,3,,,
208,"Ashish, Pranav",18-05-2018,Anogeissus seresius,93,,,,,,,,,,,,7,,,
209,"Ashish, Pranav",18-05-2018,Anogeissus seresius,51,,,,,,,,,,,,7,,,
210,"Ashish, Pranav",18-05-2018,Azadirachta indica,109,,,,,,,,,,,,8,,,
211,"Ashish, Pranav",18-05-2018,Plumeria obtusa,19.5,14,16,24,,,,,,,,,4,,,
212,"Ashish, Pranav",18-05-2018,Anogeissus seresius,64.1,,,,,,,,,,,,10,,,
